TR:mock:CellLine,TR:ATF3,TR:KIT,TR:AKT1i,TR:CCND1i,TR:ERBB3i,TR:HDAC3i,TR:ITGALi,TR:SIRT1i,TR:SMAD2i,TR:SMAD6i,TR:SOCS2i,TR:STAT1i,TR:TP53i,TR:YAP1i,TR:YWHAZi,DA:CD74,DA:CDKN2A,DA:SMAD1,DA:TRIM24,DA:TSC2,DA:VHL,DA:ZNF296,DV:CD74,DV:CDKN2A,DV:SMAD1,DV:TRIM24,DV:TSC2,DV:VHL,DV:ZNF296
1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.136275306354027,0.144108768204091,0.542666718373873,0.302728133357451,0.390407512073642,0.29373971981543,0.261420877134405
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.278344617896792,0.688172274658617,0.395612289515826,0.281934997066737,0.466347686341793,0.395238374605201,0.207857116803843
1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.143133354589617,0.778969104039241,0.484906954291526,0.499022385392859,0.395241339500916,0.300686607270072,0.368316763384259
1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,10,10,10,10,10,10,10,0.206957469713407,0.237157766649338,0.627413204987348,0.819347709355975,0.686826340242538,0.349985325936548,0.623393296005687
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,10,10,10,10,10,10,10,0.264457879720277,0.633682914677213,0.374031330598254,0.177203043228726,0.6021802569801,0.37225969615309,0.268524629691969
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,10,10,10,10,10,10,10,0.146975533784264,0.20995073552395,0.653923988563789,0.524498354674846,0.297377309950133,0.292254114653356,0.349223997766752
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.265702504679611,0.465199980410371,0.373230369506404,0.483975880909998,0.641506893155078,0.243278539114755,0.227240367576769
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,0.527275112656058,0.333891824318199,0.387497474655409,0.48343949835457,0.722277599604334,0.374994663570015,0.417591541865704
