TR:ATF3,TR:BRAF,TR:CASP9,TR:COPS5,TR:KIT,TR:XPO1,TR:AKT1i,TR:CASP3i,TR:CCND1i,TR:CDK4i,TR:DIABLOi,TR:ERBB3i,TR:HDAC3i,TR:ITGALi,TR:SIRT1i,TR:SMAD2i,TR:SMAD6i,TR:SOCS2i,TR:SPI1i,TR:SRCi,TR:STAT1i,TR:STAT3i,TR:TP53i,TR:XIAPi,TR:YAP1i,TR:YWHAEi,TR:YWHAZi,DV:CD74,DV:CDKN2A,DV:SMAD1,DV:TRIM24,DV:TSC2,DV:VHL,DV:ZNF296,N,"resp,simple"
1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0.343339175312321,0.201774001187358,0.366551741099402,0.424424962898732,0.41557267029579,0.238477977625936,0.311339580725618,1,CR
0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.149669569613459,0.215696211975869,0.726769079392545,0.40993938158603,0.565580053962572,0.228313853642809,0.313656796211719,2,CR
1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.209002052793836,0.280152482219166,0.356394802708257,0.421303374912303,0.542250703741811,0.362074959576436,0.438164558380034,4,CR
0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0.772141426621045,0.201594105000757,0.330899231442312,0.357430683999631,0.256663629012408,0.258114614671577,0.218375333046767,5,CR
0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0.253685748974957,0.257185407837687,0.394656203892327,0.422965833179856,0.30426134306536,0.298124396492633,0.256408694053918,6,CR
1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0.46920972385197,0.298599828452603,0.705050168072993,0.717082967117801,0.422656233239292,0.344033793792206,0.551480072572026,8,CR
1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0.770761979411077,0.246396042297269,0.542833136258319,0.592486271881214,0.545870245349536,0.374080030361503,1,9,CR
0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0.489421595359491,0.384694244044424,0.538432022663352,0.554924069948993,0.605206831106184,0.305003609582938,0.328845264851795,11,CR
1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0.335461205293144,0.191134672977085,0.533726894959379,0.835000238201189,0.249178658108588,0.271360839071044,0.418289814168705,13,CR
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.246529797422807,0.431544398992045,0.312565572714727,0.201566336049422,0.343684282713206,0.368287642490817,0.208353978721055,14,CR
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0.629182537415923,0.273155707645804,0.496312297873033,0.573999542953956,0.159264891612861,0.327791431208747,0.329319472604881,16,CR
0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0.579537055618709,0.326226884932485,0.540712367510545,0.648266697950214,0.274720474484581,0.242743389789968,0.422852877432978,17,CR
0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0.595844772038815,0.412570300984422,0.419530751362689,0.418551318862829,0.278140823851902,0.26700350902334,0.154306482688954,18,CR
1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0.377712437759619,0.302177633258881,0.2763240194299,0.466501334840584,0.473757353875264,0.180168990374213,0.296314055236105,19,CR
0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.293815474209004,0.218536575137134,0.488248350051544,0.59966159052839,0.474928452715363,0.407496970980476,0.551946411372225,23,CR
1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0.272233414679095,0.115191947114225,0.469693757884721,0.3608953996921,0.212168842332296,0.117079632987237,0.433125483343853,24,CR
1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.371239563778822,0.33803927596535,0.570096268927794,0.686381302742811,0.454325884605526,0.358335937708958,0.459025709102911,27,CR
0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0.223247823927947,0.372961774178654,0.628147750579382,0.401429161682673,0.57901930813634,0.390615322000068,0.270034221695611,30,CR
1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0.62670939021998,0.206948350238329,0.346759198227406,0.52255076036856,0.424432672368007,0.157229758379831,0.512382080985272,31,CR
0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0.496602892453959,0.304038806071047,0.689753839379436,0.193844756276532,0,0.207789329413435,0.21401941775077,32,CR
0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0.746157783680166,0.218152423109682,0.449020488050226,0.343456584683354,0.48888908363259,0.300238655196391,0.260501559597659,33,CR
0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.476587841877019,0.350579112311838,0.402655629862169,0.364763558879938,0.583600523582041,0.33867057160199,0.231094491138335,34,CR
1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0.379428334054379,0.39528359133796,0.334262373861129,0.377599144007686,0.518551081710251,0.514197059895215,0.322362982161639,35,CR
0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0.479946097516036,0.350302988029832,0.124669115208845,0.767327745397451,0.644759773453179,0.233629099179533,0.313086042101131,36,CR
0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.383946521610279,0.266367901702833,0.147980437694896,0.352253119178429,0.380517744903454,0.139245003753844,0.217466110368862,37,CR
1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.348423533333762,0.324468825047391,0.255155201467333,0.152629698654911,0.2804311299507,0.254856549602329,0.228543623560805,38,CR
0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0.383659117470366,0.403803458924636,0.360454751292524,0.247920489275452,0.72764067044937,0.218716721370164,0.08268412561185,39,CR
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.220589237401822,0.444064342357197,0.13127649628755,0.355814276679572,0.619587825936868,0.398017376849271,0.144867269719822,40,CR
0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0.554860585677825,0.339541273254486,0.591448370898335,0.2158512344176,0.391357023922967,0.09497267144591,0.307579153874471,42,CR
0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.82381128662199,0.301693718432164,0.428813297830568,0.476350044369912,0.283255660085646,0.27140959163009,0.302877604417448,43,CR
1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.628705936974806,0.215205819861751,0.270479617335128,0.514855529495334,0.312608511218037,0.253533359118337,0.345378593424387,44,CR
0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.383514738605355,0.410381312885604,0.463877826906562,0.153332276269976,0.333966151724662,0.258726821834526,0.339482405696688,46,CR
1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.371467000881181,0.391481903283094,0.336845639062161,0.471634781604495,0.405318672835501,0.168683704245312,0.274389047096663,47,CR
